Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Marital status_encoded,Application mode_encoded,Target_encoded,Application order_encoded,Previous qualification_encoded,Nationality_encoded,Mother's qualification_encoded,Father's qualification_encoded,Mother's occupation_encoded,Father's occupation_encoded,Course_encoded,Curricular units 1st sem (credited)_encoded,Curricular units 1st sem (enrolled)_encoded,Curricular units 1st sem (evaluations)_encoded,Curricular units 1st sem (approved)_encoded,Curricular units 1st sem (without evaluations)_encoded,Curricular units 2nd sem (credited)_encoded,Curricular units 2nd sem (enrolled)_encoded,Curricular units 2nd sem (evaluations)_encoded,Curricular units 2nd sem (approved)_encoded,Curricular units 2nd sem (without evaluations)_encoded,Age at enrollment_encoded,Previous qualification (grade)_encoded,Admission grade_encoded,Unemployment rate_encoded,Inflation rate_encoded,GDP_encoded,Curricular units 1st sem (grade)_encoded,Curricular units 2nd sem (grade)_encoded,Total curricular units (credited),Total curricular units (enrolled),Total curricular units (evaluations),Total curricular units (approved),Average curricular units grade,Total curricular units (without evaluations),Average curricular units grade_encoded
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.33,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,0,0,2,1,0,0,22,13,5,7,13,0,6,6,6,0,0,6,7,5,0,-0.6939730878554988,0.4843226841650466,0.2501235920555434,0.8762220667652447,-1.1052215545807416,0.347199421388147,0.3487736841441168,0.7619239288319195,0,12,13,11,13.265,0,0.5872723793162035
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.21,0,0,8,8,7,13.21,0,12.7,3.7,-1.7,Graduate,0,0,2,1,0,0,12,27,9,9,11,0,8,8,7,0,0,8,8,7,0,-0.6939730878554988,0.2568231649969612,-0.5302435328113464,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0.5304747852312776,0.5719131189967613,0,16,16,14,13.21,0,0.5758568431642879
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0,0,0,2,0,0,12,26,4,9,15,0,6,6,0,0,0,6,0,0,0,-0.562167955812708,0.0293236458288757,0.2224999770160071,0.4256954122332026,1.7879738048661231,-0.7498720732409514,-2.1971065163157584,-1.963483646581465,0,12,6,0,0.0,0,-2.165947385323075
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.57,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,0,16,2,1,15,0,0,0,4,7,10,0,6,7,6,0,0,6,8,5,0,-0.2985576917271264,-1.714839334459779,-1.0481863148026451,-1.0009723271182625,0.1243864731841758,1.545606837207885,-0.0146285180302043,0.1477475738091851,0,12,15,11,10.785,0,0.07253547646619131
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0,0,2,1,0,0,22,26,5,5,5,0,5,7,4,0,0,5,5,5,0,-0.6939730878554988,1.2426544147253311,0.6990073364480024,-0.2876384574425296,0.1243864731841758,0.7657608350016585,0.5387339261897848,0.3396776847537897,0,10,12,9,12.625,0,0.45443704954845826
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,0,0,0,1,0,0,12,26,9,3,14,0,6,6,5,0,0,6,7,0,0,-0.4303628237699172,-0.425675392507295,-0.4335608801729703,1.476924272807967,1.1370048489905784,-1.7896667428492534,0.5284099999916505,-1.963483646581465,0,12,13,5,6.6,0,-0.7960830470932041
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0,8,1,1,0,0,12,27,5,8,9,0,6,10,1,0,0,6,14,2,0,-0.6939730878554988,0.3326563380529896,0.7197250477276551,-0.2876384574425296,0.1243864731841758,0.7657608350016585,0.2806357712364316,0.1477475738091851,0,12,24,3,11.5,0,0.22093744644109395
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.31,0,0,8,8,8,14.54,0,15.5,2.8,-4.06,Graduate,0,7,2,2,0,0,12,0,5,4,11,0,7,8,7,0,0,8,8,8,0,-0.6939730878554988,0.1809899919409327,0.0222287679793722,1.476924272807967,1.1370048489905784,-1.7896667428492534,0.5511226376275458,0.827180166553085,0,15,16,15,13.925,0,0.7242588131391905
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0,0,2,1,0,0,2,13,3,5,7,0,5,8,4,1,0,5,8,4,2,-0.4303628237699172,0.3326563380529896,0.6437601063689317,-0.2876384574425296,0.1243864731841758,0.7657608350016585,0.3838750332177728,0.3876602124899408,0,10,16,8,12.375,3,0.40254824885793283
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.67,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0,0,1,1,0,0,12,13,7,7,15,0,7,7,6,0,0,7,8,6,0,-0.6939730878554988,0.5601558572210751,-0.1642306335374955,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.2124978583287463,0.6275728511706965,0,14,15,12,12.585,0,0.4461348414379744
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,0,0,2,3,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,-0.2985576917271264,-0.8048412577874374,-0.4611844952125066,-0.1750067938095195,-0.454252598705197,0.8891263042772198,-2.1971065163157584,-1.963483646581465,0,0,0,0,0.0,0,-2.165947385323075
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.44,0,0,8,9,8,11.42,0,12.7,3.7,-1.7,Enrolled,0,8,1,4,0,0,0,27,4,7,12,0,7,14,7,0,0,8,9,8,0,-0.4303628237699172,-0.425675392507295,-0.3575959388142468,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0.1650077978173292,0.228358220405919,0,15,23,15,11.43,0,0.20640858224774677
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.86,0,0,8,12,7,12.86,0,12.7,3.7,-1.7,Graduate,0,0,2,4,0,0,12,13,1,1,11,0,8,12,7,0,0,8,12,7,0,-0.6939730878554988,0.7118222033331321,-0.1020774996985392,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0.4582073018443384,0.5047375801661494,0,16,24,14,12.86,0,0.503212522197552
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.38,0,0,6,7,6,12.29,0,11.1,0.6,2.02,Graduate,0,0,2,4,0,0,0,27,4,7,13,0,6,8,6,0,0,6,7,6,0,-0.562167955812708,-0.577341738619352,-0.8341032982462411,-0.1750067938095195,-0.454252598705197,0.8891263042772198,0.5655761343049336,0.3953374169277248,0,12,15,12,12.835,0,0.49802364212849975
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.3,0,0,8,9,7,14.11,0,11.1,0.6,2.02,Graduate,0,0,2,1,0,0,12,13,3,7,11,0,7,8,6,0,0,8,9,7,0,-0.562167955812708,-0.5015085655633235,-0.2125719598566826,-0.1750067938095195,-0.454252598705197,0.8891263042772198,0.549057852387919,0.7446502188469052,0,15,17,13,13.705,0,0.678596668531528
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0,0,1,1,0,0,12,27,9,9,9,0,6,8,5,0,0,6,12,4,0,-0.6939730878554988,1.3943207608373882,2.073282184664915,-1.4890428695279747,0.9923450810182352,0.1401216693898834,0.1980443616513585,0.1477475738091851,0,12,20,9,11.3,0,0.17942640588867376
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.38,0,0,6,9,6,13.29,0,16.2,0.3,-0.92,Graduate,0,7,2,2,0,0,12,27,7,8,9,0,6,9,6,0,0,6,9,6,0,-0.2985576917271264,-1.3356734691796368,-0.7305147418479814,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.1526190863795685,0.5872675278723294,0,12,18,12,12.335,0,0.39424604074744896
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.67,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,0,0,1,1,0,0,12,13,3,3,5,0,5,9,5,2,0,5,7,4,0,-0.6939730878554988,0.4084895111090181,0.2777472070950798,-0.8132528877299118,-1.466870974511599,-1.3755112388527264,0.4189763822914288,0.5316077956983942,0,10,16,9,12.835,2,0.49802364212849975
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33,0,16.2,0.3,-0.92,Graduate,0,0,2,1,0,0,12,0,9,9,8,0,5,6,5,0,0,5,6,5,0,-0.4303628237699172,0.1809899919409327,-0.336878227534595,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.2806357712364316,0.4030146213655092,0,10,12,10,12.165,0,0.35896165627789134
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.93,0,0,7,7,6,13.72,0,16.2,0.3,-0.92,Enrolled,0,7,1,2,0,0,2,2,1,10,11,0,7,9,6,0,0,7,7,6,0,-0.562167955812708,-0.425675392507295,-0.5647730516107663,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.4726607985217262,0.6697974755785097,0,14,16,12,13.325,0,0.5997256914819292
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.86,0,0,6,17,5,10.57,0,16.2,0.3,-0.92,Enrolled,0,14,1,1,13,0,3,4,4,2,3,0,6,15,5,0,0,6,17,5,0,-0.2985576917271264,1.3184875877813598,1.5898689214730366,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.2517287778816559,0.0652176261030052,0,12,32,10,11.215,0,0.16178421365389495
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.83,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,0,15,2,1,0,0,26,2,15,21,4,2,6,7,6,0,0,6,9,4,0,-0.4303628237699172,-0.577341738619352,0.2086881694962399,-1.0009723271182625,0.1243864731841758,1.545606837207885,0.452012946125458,0.6083798400762361,2,12,16,10,13.115,0,0.5561390989018881
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.33,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0,0,1,1,0,0,0,0,4,6,8,0,5,9,3,0,0,5,8,2,0,-0.6939730878554988,0.7876553763891605,0.8164077003660313,-1.0009723271182625,0.1243864731841758,1.545606837207885,0.1422951601814343,0.6275728511706965,0,10,17,5,12.415,0,0.41085045696841677
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.67,0,0,6,8,6,14.38,0,12.4,0.5,1.79,Graduate,0,8,2,1,0,0,12,0,9,5,2,0,6,6,6,0,0,6,8,6,0,-0.562167955812708,0.4084895111090181,0.5194538386910192,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0.4189763822914288,0.7964713488019487,0,12,14,12,13.525,0,0.6412367320343498
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.43,0,13.9,-0.3,0.79,Graduate,0,0,2,1,0,0,1,26,3,9,16,0,5,6,5,0,0,5,9,5,0,1.414909024829154,-0.1981758733392096,0.3053708221346161,0.8762220667652447,-1.1052215545807416,0.347199421388147,0.3632271808215047,0.6141377434045742,0,10,15,10,12.915,0,0.5146280583494676
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,0,11,0,1,0,0,22,26,9,6,0,0,7,7,0,0,0,7,7,1,0,1.8103244209575264,-0.1981758733392096,-1.6904353644718553,-1.0009723271182625,0.1243864731841758,1.545606837207885,-2.1971065163157584,-0.0441825371354193,0,14,14,1,5.0,0,-1.1281713715125665
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0,11,0,1,7,0,18,26,0,0,6,0,5,0,0,0,0,5,0,0,0,2.6011552132142715,0.0369069631344782,0.1258173243776329,-1.4890428695279747,0.9923450810182352,0.1401216693898834,-2.1971065163157584,-1.963483646581465,0,10,0,0,0.0,0,-2.165947385323075
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,0,13,0,1,0,0,21,26,6,6,8,0,5,10,1,0,0,5,8,2,2,4.182816797727761,0.5601558572210751,-0.2816309974555224,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,-0.1323212766889334,0.3396776847537897,0,10,18,3,11.0,2,0.11715984506004314
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,3,11,2,1,0,0,12,13,9,3,16,0,5,8,5,0,0,5,5,5,0,2.073934685043108,-0.9565076038994944,-0.9031623358450808,-1.4890428695279747,0.9923450810182352,0.1401216693898834,0.074157247273749,0.2629056403759478,0,10,13,10,11.3,0,0.17942640588867376
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.67,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,0,14,0,1,13,2,3,3,3,6,7,2,6,13,3,0,1,6,11,3,0,-0.4303628237699172,-0.9565076038994944,-0.4819022064921583,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0.2124978583287463,0.3396776847537897,3,12,24,6,11.835,0,0.29046843936639816
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0,0,0,5,0,0,2,2,2,2,14,0,6,6,4,0,0,5,5,0,0,-0.6939730878554988,-0.5015085655633235,-0.4059372651334349,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0.4354946642084434,-1.963483646581465,0,11,11,4,6.375,0,-0.8427829677146769
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,0,0,2,2,0,0,2,13,2,7,8,0,5,5,5,0,0,5,5,5,0,-0.1667525596843355,0.0293236458288757,-0.454278591452622,-1.0009723271182625,0.1243864731841758,1.545606837207885,0.8587756383319428,1.0690121063432871,0,10,10,10,15.3,0,1.0096472169370803
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.93,0,0,8,9,7,14.34,0,11.1,0.6,2.02,Graduate,0,0,2,6,0,0,0,2,2,2,11,0,7,9,5,0,0,8,9,7,0,-0.1667525596843355,-2.2456715458519785,-1.8216475359096516,-0.1750067938095195,-0.454252598705197,0.8891263042772198,0.6791393224844088,0.7887941443641643,0,15,18,12,14.135,0,0.7678454057192317
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,0,7,0,1,0,0,0,27,5,5,14,0,6,7,4,0,0,6,7,5,0,-0.4303628237699172,-0.9565076038994944,-0.3852195538537822,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0.4871142951991141,0.685151884454078,0,12,14,9,13.4,0,0.615292331689087
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,0,11,0,1,0,0,21,26,9,9,16,0,5,0,0,0,0,5,0,0,0,0.7558833646152,0.0369069631344782,-1.1932102937602085,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,-2.1971065163157584,-1.963483646581465,0,10,0,0,0.0,0,-2.165947385323075
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33,1,7.6,2.6,0.32,Enrolled,0,7,1,1,0,0,22,27,4,5,16,0,5,9,2,0,0,5,11,3,1,0.096857704401246,1.6218202800054735,0.4918302236514829,-1.4890428695279747,0.9923450810182352,0.1401216693898834,0.1773965092550903,0.7868748432547182,0,10,20,5,12.915,1,0.5146280583494676
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.67,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,0,7,2,2,0,0,12,13,9,9,9,0,6,6,6,0,0,6,8,5,0,-0.6939730878554988,-0.1981758733392096,0.0429464792590239,-0.1750067938095195,-0.454252598705197,0.8891263042772198,0.2124978583287463,0.5699938178873151,0,12,14,11,12.434999999999999,0,0.4150015610236587
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.52,0,0,8,9,7,13.77,0,11.1,0.6,2.02,Graduate,0,7,2,6,0,0,21,13,7,7,11,0,7,8,6,0,0,8,9,7,0,-0.1667525596843355,-0.0465095272271526,0.3744298597334559,-0.1750067938095195,-0.454252598705197,0.8891263042772198,0.5944831276597089,0.6793939811257397,0,15,17,13,13.645,0,0.6661433563658018
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.29,0,12.4,0.5,1.79,Graduate,0,14,2,1,13,0,0,13,9,9,2,3,6,6,6,0,2,6,7,6,0,-0.2985576917271264,-0.1981758733392096,0.4434888973322958,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0.1773965092550903,0.5872675278723294,5,12,13,12,12.395,0,0.40669935291317477
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.33,0,0,6,7,6,12.83,0,12.7,3.7,-1.7,Graduate,0,0,2,1,0,0,21,27,9,9,9,0,6,7,5,0,0,6,7,6,0,-0.562167955812708,0.4843226841650466,-0.0606420771392357,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0.3487736841441168,0.4989796768378114,0,12,14,11,12.58,0,0.4450970654241637
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.67,0,0,6,6,6,14.17,0,12.4,0.5,1.79,Graduate,0,11,2,1,0,0,12,27,9,7,10,0,6,6,6,0,0,6,6,6,0,0.096857704401246,-0.1981758733392096,-0.9307859508846172,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0.6254549062541114,0.7561660255035816,0,12,12,12,13.92,0,0.7232210371253799
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.83,0,0,8,10,6,11.83,0,9.4,-0.8,-3.12,Enrolled,0,0,1,1,0,0,21,27,6,6,11,0,8,10,6,0,0,8,10,6,0,-0.562167955812708,0.4843226841650466,-0.3921254576136667,-0.8132528877299118,-1.466870974511599,-1.3755112388527264,0.2455344221627755,0.307049565893207,0,16,20,12,11.83,0,0.2894306633525875
